coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
0,1,21,0,1,35,0,0,0,0,8,4,100,7,0,0,0,0,0,0,0,0,0,0,0,
0,3,5,0,3,46,0,0,0,0,20,5,50,6,0,4,3,49,0,49,0,0,0,0,0.12,
24,23,134,10,40,879,0,0,1,1,143,22,70,16,4,10,40,373,17,356,0,0,0,1,0.14,
3,1,15,3,6,98,0,0,0,0,40,7,55,13,1,5,6,71,3,68,0,0,0,0,0.135,
4,8,43,5,10,491,0,0,1,0,72,6,0,9,11,3,2,116,19,97,0,0,1,0,0.033,
0,1,24,2,4,301,0,0,0,1,38,1,93,72,0,9,7,109,5,104,0,0,0,1,0.113,
0,1,9,2,1,114,0,0,0,0,21,3,88,27,0,5,10,71,2,69,0,0,0,0,0.241,
3,4,25,3,4,94,0,0,0,0,23,6,0,5,0,0,0,0,0,0,0,0,0,0,0,
0,1,26,0,1,54,0,0,0,0,7,2,73,12,1,3,2,40,4,36,0,0,0,0,0.089,
8,12,65,2,15,87,0,0,1,0,32,13,60,7,8,5,26,170,49,121,0,0,1,0,0.151,
0,1,24,0,1,38,0,0,1,0,6,1,42,9,3,1,15,36,8,28,0,0,1,0,0.448,
2,2,28,0,2,49,0,0,0,0,13,4,50,5,0,0,0,0,0,0,0,0,0,0,0,
12,9,131,53,20,2088,0,0,0,0,178,20,75,11,2,7,77,391,33,358,0,0,0,1,0.272,
2,2,47,1,6,208,0,0,1,0,30,5,77,10,9,5,18,142,34,108,0,0,1,1,0.198,
0,1,24,0,1,65,0,0,0,0,13,1,75,16,0,3,0,31,0,31,0,0,0,0,0,
0,5,11,6,8,451,0,0,0,0,34,2,94,105,2,6,3,92,14,78,0,0,0,0,0.052,
0,3,29,0,4,219,0,0,1,0,25,1,98,55,1,5,6,178,14,164,0,0,0,0,0.054,
0,5,11,2,5,34,0,0,0,0,19,3,0,2,0,0,0,0,0,0,0,0,0,0,0,
0,1,21,0,1,31,0,0,0,0,5,2,66,8,0,2,4,20,0,20,0,0,0,0,0.286,
0,2,10,0,3,32,0,0,1,0,7,1,0,7,1,6,2,31,2,29,0,0,1,0,0.098,
7,27,148,23,36,1873,0,0,1,1,213,12,0,3,74,9,14,722,329,393,0,0,1,1,0.036,
8,3,73,5,9,376,0,0,0,0,53,15,100,2,0,3,21,128,1,127,0,0,0,0,0.168,
4,4,56,1,5,242,0,0,0,0,46,11,50,16,2,4,15,106,8,98,0,0,0,0,0.154,
2,2,52,1,3,116,0,0,0,0,16,4,66,12,0,2,23,94,4,90,0,0,0,0,0.227,
73,21,602,7,86,1331,0,0,0,0,168,54,0,1,0,5,58,202,2,200,0,0,0,0,0.331,
11,0,38,2,14,165,0,0,0,0,40,23,43,9,0,3,18,85,0,85,0,0,0,0,0.189,
0,1,9,0,1,43,0,0,0,0,11,2,87,8,0,3,4,42,1,41,0,0,0,0,0.231,
10,4,53,5,14,272,0,0,0,0,35,7,0,2,0,4,13,99,0,99,0,0,0,0,0.157,
15,25,123,42,46,1524,0,0,1,1,212,39,91,32,10,11,27,635,103,532,0,0,1,1,0.114,
0,4,13,0,4,127,0,0,0,0,22,1,90,30,0,3,0,36,0,36,0,0,0,0,0,
5,2,16,2,5,99,0,0,0,0,20,10,0,4,0,4,2,37,0,37,0,0,0,0,0.093,
0,1,13,2,1,63,0,0,0,0,14,3,70,16,0,0,0,0,0,0,0,0,0,0,0,
0,2,15,0,2,74,0,0,0,0,7,2,71,7,0,1,1,25,2,23,0,0,0,0,0.063,
7,2,18,1,10,245,0,0,0,0,64,11,76,17,0,2,5,81,0,81,0,0,0,0,0.102,
0,2,25,4,3,182,0,0,0,0,22,6,16,3,0,4,17,138,19,119,0,0,0,0,0.182,
0,1,9,1,2,21,0,0,0,1,14,3,0,3,0,8,1,29,0,29,0,0,0,0,0.105,
0,2,9,0,4,46,0,0,0,0,17,1,81,11,0,5,0,32,0,32,0,0,0,0,0,
4,4,84,1,6,478,0,0,1,0,80,6,0,33,3,5,6,122,4,118,0,0,1,0,0.076,
2,2,4,0,2,46,0,0,0,0,22,5,40,5,0,4,3,37,1,36,0,0,0,0,0.15,
9,5,77,6,12,426,0,0,0,0,44,9,94,72,0,5,24,170,5,165,0,0,0,0,0.183,
0,1,24,0,1,275,0,0,0,0,22,1,91,82,0,4,3,97,0,97,0,0,0,0,0.06,
2,2,18,0,2,107,0,0,0,0,19,5,87,22,0,2,4,43,1,42,0,0,0,0,0.151,
0,1,1,0,2,138,0,0,0,0,13,2,79,25,0,0,0,0,0,0,0,0,0,0,0,
2,2,10,0,3,81,0,0,0,0,10,8,66,4,7,3,0,36,7,29,0,0,0,0,0,
16,9,57,11,19,504,0,0,0,1,81,12,81,58,0,11,11,155,6,149,0,0,0,1,0.169,
23,15,151,34,32,582,0,0,0,0,102,24,40,9,1,6,41,224,20,204,0,0,0,1,0.208,
4,2,12,2,5,77,0,0,0,0,20,9,33,3,0,4,2,33,0,33,0,0,0,0,0.093,
2,3,13,7,5,203,0,0,0,0,29,9,84,33,0,3,3,73,2,71,0,0,0,0,0.055,
2,6,19,24,11,785,0,0,0,1,111,10,75,14,5,15,12,270,21,249,0,0,0,1,0.079,
6,4,30,0,6,260,0,0,1,0,31,8,88,20,3,3,10,107,26,81,0,0,1,0,0.155,
0,6,43,8,8,176,0,0,0,1,41,2,88,21,2,12,4,80,4,76,0,0,0,1,0.091,
17,37,333,55,49,2140,0,0,1,1,286,34,81,32,66,12,40,864,266,598,0,0,1,1,0.091,
15,26,134,48,39,1254,0,0,1,1,110,11,0,17,18,11,28,376,133,243,0,0,1,1,0.103,
0,4,72,14,4,675,0,0,1,1,96,5,84,84,10,10,46,277,32,245,0,0,1,1,0.237,
2,3,14,3,6,141,0,0,1,0,17,2,37,15,2,3,3,32,6,26,0,0,1,0,0.136,
2,5,15,2,9,82,0,0,0,0,9,4,0,11,2,0,1,28,6,22,0,0,0,0,0.136,
0,5,57,3,5,409,0,0,1,0,43,2,94,75,5,6,22,158,12,146,0,0,1,0,0.218,
0,3,7,1,6,30,0,0,0,0,7,1,75,7,0,1,0,13,0,13,0,0,0,0,0,
0,1,1,8,1,57,0,0,1,0,16,1,83,6,4,3,1,32,11,21,0,0,0,0,0.155,
3,0,6,0,7,809,0,0,0,0,60,6,92,71,0,0,0,0,0,0,0,0,0,0,0,
