coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
0,1,15,1,1,168,0,1,1,0,7,2,60,8,1,5,2,29,2,27,0,2,1,0,0.121,
0,1,5,2,3,243,0,1,1,0,26,1,86,58,5,4,0,57,26,31,0,1,1,0,0,
0,1,23,2,1,380,0,0,0,0,9,1,0,11,0,8,2,65,0,65,0,0,0,0,0.058,
0,5,26,11,13,1197,0,0,1,0,64,2,82,175,4,11,29,184,22,162,0,0,1,0,0.256,
0,1,2,2,1,459,0,0,1,0,35,1,86,76,2,7,4,53,3,50,0,0,1,0,0.133,
0,4,15,4,4,259,0,0,1,0,29,2,78,19,2,4,23,215,25,190,0,0,1,0,0.171,
9,9,108,9,9,3326,0,2,0,0,110,15,85,65,3,0,76,590,167,423,0,2,0,0,0.205,
20,20,460,0,20,544,0,0,0,0,62,40,38,13,3,1,12,238,41,197,0,0,0,0,0.092,
2,3,22,8,5,863,0,0,1,0,37,2,61,52,10,4,8,172,60,112,0,0,1,0,0.085,
0,1,12,0,1,67,0,2,1,0,17,1,0,13,11,5,5,87,32,55,0,2,1,0,0.103,
0,1,1,0,2,225,0,0,1,1,19,1,68,51,22,12,18,645,264,381,0,2,1,1,0.266,
0,1,1,6,3,716,0,2,1,0,48,1,90,81,6,9,31,259,31,228,0,2,1,0,0.193,
0,1,1,0,1,420,0,0,1,0,29,1,80,84,2,3,2,53,10,43,0,0,1,0,0.07,
0,1,1,2,3,137,0,0,0,0,15,1,77,28,1,0,0,28,2,26,0,0,1,0,0,
0,2,26,0,2,297,0,0,0,0,40,1,0,62,1,10,0,52,1,51,0,0,0,0,0,
0,2,2,8,5,596,0,0,1,0,37,1,90,136,6,8,0,61,16,45,0,0,1,0,0.048,
0,1,12,0,1,64,0,2,1,0,9,1,0,12,4,1,0,39,23,16,0,2,1,0,0,
0,1,2,0,2,120,0,0,0,0,5,1,71,11,1,0,8,21,2,19,0,0,0,0,0.432,
0,1,1,0,1,135,0,0,1,0,20,3,60,19,1,3,2,34,1,33,0,0,1,0,0.105,
0,3,20,5,3,370,0,1,1,0,39,1,81,73,2,11,2,55,6,49,0,1,1,0,0.068,
0,1,1,1,2,1010,1,0,1,0,26,1,96,148,16,2,29,172,127,45,1,0,1,0,0.247,
0,3,5,3,6,356,0,0,1,0,29,1,71,56,2,3,21,56,4,52,0,0,1,0,0.429,
0,1,1,0,2,447,0,0,0,0,33,1,0,60,0,6,5,61,0,61,0,0,1,1,0.236,
0,1,12,1,1,142,1,0,1,0,12,1,68,31,3,1,6,48,7,41,1,0,1,0,0.2,
0,2,17,0,2,121,0,0,1,0,11,1,75,28,2,1,2,24,9,15,0,0,1,0,0.143,
0,2,3,0,2,298,0,0,0,0,18,1,84,27,1,0,8,60,5,55,0,0,0,0,0.211,
0,4,7,2,8,1185,0,0,1,0,29,1,96,41,5,7,20,165,21,144,0,0,1,0,0.195,
0,2,13,2,2,27165,0,2,0,0,0,1,0,0,1,1,1306,3974,5,3969,0,2,0,0,0.397,
6,10,53,12,10,1053,0,2,1,1,137,8,76,26,6,14,65,408,21,387,0,2,1,1,0.275,
