coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
37,38,549,12,66,1689,0,0,1,1,287,52,0,1,53,34,372,1909,636,1273,0,1,1,1,0.179,
73,64,648,49,106,6142,0,0,1,1,717,39,93,100,26,28,211,1390,144,1246,0,1,1,1,0.141,
0,3,20,3,3,493,0,0,1,0,38,2,95,101,1,11,0,52,1,51,0,0,1,0,0,
0,1,27,0,1,15,1,0,1,0,2,1,0,4,8,2,0,13,9,4,1,0,1,0,0,
0,1,17,0,1,587,1,0,0,0,11,1,79,131,1,0,0,4,4,0,1,0,0,0,0,
0,1,20,0,4,54,0,1,1,0,15,2,37,8,1,7,0,27,1,26,0,1,1,0,0.105,
0,1,7,0,1,109,0,1,1,0,12,1,90,30,12,2,0,50,31,19,0,1,1,0,0,
0,2,21,2,5,129,0,0,1,0,22,3,52,23,6,6,0,45,8,37,0,0,1,0,0,
0,2,23,0,4,177,0,0,1,0,28,1,88,30,14,1,5,80,44,36,0,0,1,0,0.105,
0,2,23,0,3,18,0,0,1,0,3,2,66,5,1,2,0,9,1,8,0,0,1,0,0,
0,1,27,0,2,104,0,1,1,0,11,2,86,27,1,1,0,19,1,18,0,1,1,0,0,
0,1,8,1,1,69,0,0,1,0,8,1,81,16,9,1,0,36,24,12,0,0,1,0,0,
0,2,30,0,2,15,0,0,1,0,2,1,0,4,13,2,0,72,67,5,0,0,1,0,0,
0,2,31,2,2,126,0,0,1,0,7,1,89,29,7,6,0,26,10,16,0,0,1,0,0,
0,3,23,0,4,228,0,0,1,0,30,2,78,43,2,5,0,53,2,51,0,0,1,0,0.027,
0,2,47,0,2,51,0,0,1,0,10,1,62,11,3,2,0,18,5,13,0,0,1,0,0,
0,2,31,0,2,80,0,1,1,0,12,1,0,5,6,7,10,130,8,122,0,0,1,0,0.203,
